ds	cus	veh	model     	ws	tlim	Sec	Obj	Var
DD	60	4	Taxi_Express2ws	1	9	9.014	688835	2096
DD	60	4	Taxi_Express1ws	2	8	8.115	897831	1760
DD	60	4	Taxi_Express2ws	2	8	8.056	688835	2096
DD	60	4	Taxi_Express1ws	3	7	7.012	897831	1760
DD	60	4	Taxi_Express2ws	3	7	7.101	688835	2096
DD	60	4	Taxi_Express1	0	10	10.047	1966800	880
DD	60	4	Taxi_Express2	0	10	10.061	1970036	1216
DD	65	4	Taxi_Express1ws	1	9	9.039	1050086	1900
DD	65	4	Taxi_Express2ws	1	9	9.025	638938	2264
DD	65	4	Taxi_Express1ws	2	8	8.049	1050086	1900
DD	65	4	Taxi_Express2ws	2	8	8.094	662241	2264
DD	65	4	Taxi_Express1ws	3	7	7.048	1050086	1900
DD	65	4	Taxi_Express2ws	3	7	7.035	697260	2264
DD	65	4	Taxi_Express1	0	10	10.009	2165592	950
DD	65	4	Taxi_Express2	0	10	10.08	nfs	1314
DD	70	5	Taxi_Express1ws	1	9	9.02	920756	2472
DD	70	5	Taxi_Express2ws	1	9	9.087	677111	2962
DD	70	5	Taxi_Express1ws	2	8	8.014	922579	2472
DD	70	5	Taxi_Express2ws	2	8	8.026	678731	2962
DD	70	5	Taxi_Express1ws	3	7	7.038	932528	2472
DD	70	5	Taxi_Express2ws	3	7	7.033	678731	2962
DD	70	5	Taxi_Express1	0	10	10.038	2202731	1236
DD	70	5	Taxi_Express2	0	10	10.079	nfs	1726
DD	75	5	Taxi_Express1ws	1	9	9.006	988055	2640
DD	75	5	Taxi_Express2ws	1	9	9.045	758837	3165
DD	75	5	Taxi_Express1ws	2	8	8.04	993215	2640
DD	75	5	Taxi_Express2ws	2	8	8.024	758837	3165
DD	75	5	Taxi_Express1ws	3	7	7.034	1000821	2640
DD	75	5	Taxi_Express2ws	3	7	7.042	758837	3165
DD	75	5	Taxi_Express1	0	10	10.025	2350667	1320
DD	75	5	Taxi_Express2	0	10	10.078	nfs	1845
